Sequence ID,Flag,Nearest Corresponding Alleles,Mismatch/Gap,Supporting Individuals,Supporting Samples
VH1.36B*02c,Novel allele,VH1.36,9/0,5,25
VH1.36B*01c,Novel gene,VH1.36,8/0,4,20
VH1.53B*01c,Novel gene,VH1.53,9/0,7,30
VH2.12B*01c,Novel gene,IGHV2-1*01|VH2.12,11/0,4,13
VH2.12B*03c,Novel allele,IGHV2-1*01|VH2.12,14/0,5,24
VH3.9B*01c,Novel gene,IGHV3-13*01|VH3.9,13/0,2,7
VH3.58C*01c,Novel gene,VH3.58,11/1,9,44
VH3.58B*01c,Novel gene,VH3.58,12/0,7,29
VH4.11C*01c,Novel gene,IGHV4-2*01|VH4.11,11/0,3,15
VH4.11B*01c,Novel gene,IGHV4-2*01|VH4.11,10/0,2,9
VH4.11D*01c,Novel gene,IGHV4-2*01|VH4.11,15/0,6,30
VH4.22B*01c,Novel gene,VH4.22,8/0,4,20
VH4.22C*02c,Novel allele,VH4.22,13/0,3,14
VH4.22C*03c,Novel allele,VH4.22,12/0,2,10
VH4.22D*01c,Novel gene,VH4.22,11/0,3,13
VH4.22B*02c,Novel allele,VH4.22,9/0,9,44
VH4.22E*01c,Novel gene,VH4.22,13/0,2,10
VH4.22C*01c,Novel gene,VH4.22,9/0,4,18
VH4.28B*01c,Novel gene,VH4.28,10/0,2,7
VH4.34D*01c,Novel gene,VH4.34,16/0,3,12
VH4.34C*01c,Novel gene,VH4.34,14/0,2,7
VH4.34E*02c,Novel allele,VH4.40,21/0,4,20
VH4.34D*02c,Novel allele,VH4.34,17/0,2,10
VH4.34F*01c,Novel gene,VH4.34,23/0,4,16
VH4.34E*01c,Novel gene,VH4.34,18/0,2,10
VH4.34B*01c,Novel gene,VH4.34,11/0,13,64
VH4.35C*01c,Novel gene,VH4.35,16/0,2,10
VH4.35B*01c,Novel gene,VH4.35,13/0,2,10
VH4.38C*04c,Novel allele,VH4.38,18/0,3,15
VH4.38C*03c,Novel allele,VH4.38,16/0,2,10
VH4.38C*01c,Novel gene,VH4.38,15/0,4,19
VH4.39D*01c,Novel gene,VH4.39,17/0,5,25
VH4.39C*01c,Novel gene,VH4.39,14/0,8,35
VH4.39B*03c,Novel allele,VH4.39,12/1,6,30
VH4.39B*01c,Novel gene,VH4.39,12/1,5,25
VH4.40B*01c,Novel gene,VH4.40,14/0,3,15
VH4.57C*01c,Novel gene,VH4.57,16/0,3,15
VH4.57B*01c,Novel gene,VH4.57,11/0,2,9
VH7.66A*02c,Novel allele,Human_IGHV7-4-1*02b,22/0,3,7
VH7.66A*01c,Novel gene,Human_IGHV7-4-1*02b,21/0,5,20
VH1.67A*02c,Novel allele,Human_IGHV1-8*02b,27/0,8,38
VH1.67A*01c,Novel gene,Human_IGHV1-8*02b,26/0,5,23
VH2.12B*02c,Novel allele,Human_IGHV2-5*02b,14/0,1,5
VH3.64A*01c,Novel gene,Human_IGHV3-21*04b,18/0,3,14
VH3.65A*01c,Novel gene,Human_IGHV3-11*05b,19/0,2,10
